subject	level1	level2	level3	level4
http://dbpedia.org/resource/Siren_Lake	https://dbpedia.org/ontology/Place	https://dbpedia.org/ontology/NaturalPlace	https://dbpedia.org/ontology/BodyOfWater	https://dbpedia.org/ontology/Lake
http://dbpedia.org/resource/Dogtrot_Lake_(Minnesota)	https://dbpedia.org/ontology/Place	https://dbpedia.org/ontology/NaturalPlace	https://dbpedia.org/ontology/BodyOfWater	https://dbpedia.org/ontology/Lake
http://dbpedia.org/resource/Lac_de_Montsalvens	https://dbpedia.org/ontology/Place	https://dbpedia.org/ontology/NaturalPlace	https://dbpedia.org/ontology/BodyOfWater	https://dbpedia.org/ontology/Lake
http://dbpedia.org/resource/Farmoor_Reservoir	https://dbpedia.org/ontology/Place	https://dbpedia.org/ontology/NaturalPlace	https://dbpedia.org/ontology/BodyOfWater	https://dbpedia.org/ontology/Lake
http://dbpedia.org/resource/Lake_Glenada	https://dbpedia.org/ontology/Place	https://dbpedia.org/ontology/NaturalPlace	https://dbpedia.org/ontology/BodyOfWater	https://dbpedia.org/ontology/Lake
http://dbpedia.org/resource/Union_Pond_(Massachusetts)	https://dbpedia.org/ontology/Place	https://dbpedia.org/ontology/NaturalPlace	https://dbpedia.org/ontology/BodyOfWater	https://dbpedia.org/ontology/Lake
http://dbpedia.org/resource/Chilcotin_Lake	https://dbpedia.org/ontology/Place	https://dbpedia.org/ontology/NaturalPlace	https://dbpedia.org/ontology/BodyOfWater	https://dbpedia.org/ontology/Lake
http://dbpedia.org/resource/Lago_di_Giulianello	https://dbpedia.org/ontology/Place	https://dbpedia.org/ontology/NaturalPlace	https://dbpedia.org/ontology/BodyOfWater	https://dbpedia.org/ontology/Lake
http://dbpedia.org/resource/Étang_Saint-Nicolas	https://dbpedia.org/ontology/Place	https://dbpedia.org/ontology/NaturalPlace	https://dbpedia.org/ontology/BodyOfWater	https://dbpedia.org/ontology/Lake
http://dbpedia.org/resource/Belvide_Reservoir	https://dbpedia.org/ontology/Place	https://dbpedia.org/ontology/NaturalPlace	https://dbpedia.org/ontology/BodyOfWater	https://dbpedia.org/ontology/Lake
http://dbpedia.org/resource/Cistern_of_Philoxenos	https://dbpedia.org/ontology/Place	https://dbpedia.org/ontology/NaturalPlace	https://dbpedia.org/ontology/BodyOfWater	https://dbpedia.org/ontology/Lake
http://dbpedia.org/resource/Lake_Hallwil	https://dbpedia.org/ontology/Place	https://dbpedia.org/ontology/NaturalPlace	https://dbpedia.org/ontology/BodyOfWater	https://dbpedia.org/ontology/Lake
http://dbpedia.org/resource/Fallduck_Lakes	https://dbpedia.org/ontology/Place	https://dbpedia.org/ontology/NaturalPlace	https://dbpedia.org/ontology/BodyOfWater	https://dbpedia.org/ontology/Lake
http://dbpedia.org/resource/Rannasee	https://dbpedia.org/ontology/Place	https://dbpedia.org/ontology/NaturalPlace	https://dbpedia.org/ontology/BodyOfWater	https://dbpedia.org/ontology/Lake
http://dbpedia.org/resource/Portsmouth_Mine_Pit_Lake	https://dbpedia.org/ontology/Place	https://dbpedia.org/ontology/NaturalPlace	https://dbpedia.org/ontology/BodyOfWater	https://dbpedia.org/ontology/Lake
http://dbpedia.org/resource/Thorvaldson_Lake	https://dbpedia.org/ontology/Place	https://dbpedia.org/ontology/NaturalPlace	https://dbpedia.org/ontology/BodyOfWater	https://dbpedia.org/ontology/Lake
http://dbpedia.org/resource/Kootenai_Lakes	https://dbpedia.org/ontology/Place	https://dbpedia.org/ontology/NaturalPlace	https://dbpedia.org/ontology/BodyOfWater	https://dbpedia.org/ontology/Lake
http://dbpedia.org/resource/Nåvatnet	https://dbpedia.org/ontology/Place	https://dbpedia.org/ontology/NaturalPlace	https://dbpedia.org/ontology/BodyOfWater	https://dbpedia.org/ontology/Lake
http://dbpedia.org/resource/Pellegrini_Lake	https://dbpedia.org/ontology/Place	https://dbpedia.org/ontology/NaturalPlace	https://dbpedia.org/ontology/BodyOfWater	https://dbpedia.org/ontology/Lake
http://dbpedia.org/resource/Lake_Success_(California)	https://dbpedia.org/ontology/Place	https://dbpedia.org/ontology/NaturalPlace	https://dbpedia.org/ontology/BodyOfWater	https://dbpedia.org/ontology/Lake
http://dbpedia.org/resource/Miscanti_Lake	https://dbpedia.org/ontology/Place	https://dbpedia.org/ontology/NaturalPlace	https://dbpedia.org/ontology/BodyOfWater	https://dbpedia.org/ontology/Lake
http://dbpedia.org/resource/Finsevatnet	https://dbpedia.org/ontology/Place	https://dbpedia.org/ontology/NaturalPlace	https://dbpedia.org/ontology/BodyOfWater	https://dbpedia.org/ontology/Lake
http://dbpedia.org/resource/Laguna_Azul_(Bolivia)	https://dbpedia.org/ontology/Place	https://dbpedia.org/ontology/NaturalPlace	https://dbpedia.org/ontology/BodyOfWater	https://dbpedia.org/ontology/Lake
http://dbpedia.org/resource/Niagara_Lake	https://dbpedia.org/ontology/Place	https://dbpedia.org/ontology/NaturalPlace	https://dbpedia.org/ontology/BodyOfWater	https://dbpedia.org/ontology/Lake
http://dbpedia.org/resource/Fishhook_Lake	https://dbpedia.org/ontology/Place	https://dbpedia.org/ontology/NaturalPlace	https://dbpedia.org/ontology/BodyOfWater	https://dbpedia.org/ontology/Lake
http://dbpedia.org/resource/Vangsvatnet	https://dbpedia.org/ontology/Place	https://dbpedia.org/ontology/NaturalPlace	https://dbpedia.org/ontology/BodyOfWater	https://dbpedia.org/ontology/Lake
http://dbpedia.org/resource/Lake_Merritt	https://dbpedia.org/ontology/Place	https://dbpedia.org/ontology/NaturalPlace	https://dbpedia.org/ontology/BodyOfWater	https://dbpedia.org/ontology/Lake
http://dbpedia.org/resource/Aalkistensee	https://dbpedia.org/ontology/Place	https://dbpedia.org/ontology/NaturalPlace	https://dbpedia.org/ontology/BodyOfWater	https://dbpedia.org/ontology/Lake
http://dbpedia.org/resource/Lough_Sheelin	https://dbpedia.org/ontology/Place	https://dbpedia.org/ontology/NaturalPlace	https://dbpedia.org/ontology/BodyOfWater	https://dbpedia.org/ontology/Lake
http://dbpedia.org/resource/West_Loch_of_Skaw	https://dbpedia.org/ontology/Place	https://dbpedia.org/ontology/NaturalPlace	https://dbpedia.org/ontology/BodyOfWater	https://dbpedia.org/ontology/Lake
http://dbpedia.org/resource/Accord_Pond	https://dbpedia.org/ontology/Place	https://dbpedia.org/ontology/NaturalPlace	https://dbpedia.org/ontology/BodyOfWater	https://dbpedia.org/ontology/Lake
http://dbpedia.org/resource/Auburn_River_Dam	https://dbpedia.org/ontology/Place	https://dbpedia.org/ontology/NaturalPlace	https://dbpedia.org/ontology/BodyOfWater	https://dbpedia.org/ontology/Lake
http://dbpedia.org/resource/Livadh_Lake	https://dbpedia.org/ontology/Place	https://dbpedia.org/ontology/NaturalPlace	https://dbpedia.org/ontology/BodyOfWater	https://dbpedia.org/ontology/Lake
http://dbpedia.org/resource/Bergrat_Müller_Pond	https://dbpedia.org/ontology/Place	https://dbpedia.org/ontology/NaturalPlace	https://dbpedia.org/ontology/BodyOfWater	https://dbpedia.org/ontology/Lake
http://dbpedia.org/resource/Hoopes_Reservoir	https://dbpedia.org/ontology/Place	https://dbpedia.org/ontology/NaturalPlace	https://dbpedia.org/ontology/BodyOfWater	https://dbpedia.org/ontology/Lake
http://dbpedia.org/resource/Osman_Sagar	https://dbpedia.org/ontology/Place	https://dbpedia.org/ontology/NaturalPlace	https://dbpedia.org/ontology/BodyOfWater	https://dbpedia.org/ontology/Lake
http://dbpedia.org/resource/Eagle_Lake_(Ontario)	https://dbpedia.org/ontology/Place	https://dbpedia.org/ontology/NaturalPlace	https://dbpedia.org/ontology/BodyOfWater	https://dbpedia.org/ontology/Lake
http://dbpedia.org/resource/Pukeko_Pond	https://dbpedia.org/ontology/Place	https://dbpedia.org/ontology/NaturalPlace	https://dbpedia.org/ontology/BodyOfWater	https://dbpedia.org/ontology/Lake
http://dbpedia.org/resource/Hirvijärvi_Reservoir	https://dbpedia.org/ontology/Place	https://dbpedia.org/ontology/NaturalPlace	https://dbpedia.org/ontology/BodyOfWater	https://dbpedia.org/ontology/Lake
http://dbpedia.org/resource/Antaqucha_(Apurímac)	https://dbpedia.org/ontology/Place	https://dbpedia.org/ontology/NaturalPlace	https://dbpedia.org/ontology/BodyOfWater	https://dbpedia.org/ontology/Lake
http://dbpedia.org/resource/Aodan_(reservoir)	https://dbpedia.org/ontology/Place	https://dbpedia.org/ontology/NaturalPlace	https://dbpedia.org/ontology/BodyOfWater	https://dbpedia.org/ontology/Lake
http://dbpedia.org/resource/Großer_Brombachsee	https://dbpedia.org/ontology/Place	https://dbpedia.org/ontology/NaturalPlace	https://dbpedia.org/ontology/BodyOfWater	https://dbpedia.org/ontology/Lake
http://dbpedia.org/resource/Tagish_Lake	https://dbpedia.org/ontology/Place	https://dbpedia.org/ontology/NaturalPlace	https://dbpedia.org/ontology/BodyOfWater	https://dbpedia.org/ontology/Lake
http://dbpedia.org/resource/Mud_Lake_(Illinois)	https://dbpedia.org/ontology/Place	https://dbpedia.org/ontology/NaturalPlace	https://dbpedia.org/ontology/BodyOfWater	https://dbpedia.org/ontology/Lake
http://dbpedia.org/resource/Lake_Ellsworth_(Oklahoma)	https://dbpedia.org/ontology/Place	https://dbpedia.org/ontology/NaturalPlace	https://dbpedia.org/ontology/BodyOfWater	https://dbpedia.org/ontology/Lake
http://dbpedia.org/resource/Lake_Kuremaa	https://dbpedia.org/ontology/Place	https://dbpedia.org/ontology/NaturalPlace	https://dbpedia.org/ontology/BodyOfWater	https://dbpedia.org/ontology/Lake
http://dbpedia.org/resource/Lake_Victoria_(New_South_Wales)	https://dbpedia.org/ontology/Place	https://dbpedia.org/ontology/NaturalPlace	https://dbpedia.org/ontology/BodyOfWater	https://dbpedia.org/ontology/Lake
http://dbpedia.org/resource/Brabrand_Lake	https://dbpedia.org/ontology/Place	https://dbpedia.org/ontology/NaturalPlace	https://dbpedia.org/ontology/BodyOfWater	https://dbpedia.org/ontology/Lake
http://dbpedia.org/resource/Tangani'a	https://dbpedia.org/ontology/Place	https://dbpedia.org/ontology/NaturalPlace	https://dbpedia.org/ontology/BodyOfWater	https://dbpedia.org/ontology/Lake
http://dbpedia.org/resource/Lake_Aviemore	https://dbpedia.org/ontology/Place	https://dbpedia.org/ontology/NaturalPlace	https://dbpedia.org/ontology/BodyOfWater	https://dbpedia.org/ontology/Lake
http://dbpedia.org/resource/Muriel_Lake	https://dbpedia.org/ontology/Place	https://dbpedia.org/ontology/NaturalPlace	https://dbpedia.org/ontology/BodyOfWater	https://dbpedia.org/ontology/Lake
http://dbpedia.org/resource/Bukówka_Lake	https://dbpedia.org/ontology/Place	https://dbpedia.org/ontology/NaturalPlace	https://dbpedia.org/ontology/BodyOfWater	https://dbpedia.org/ontology/Lake
